timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1672416287425,85,HTTP Request-1,200,OK,Thread Group 1-14,text,true,,100817,142,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,28,0,0
1672416287405,109,HTTP Request,200,OK,Thread Group 1-3,text,true,,101550,330,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,15,0,0
1672416287405,15,HTTP Request-0,301,Moved Permanently,Thread Group 1-3,text,true,,733,188,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu/,15,0,0
1672416287420,94,HTTP Request-1,200,OK,Thread Group 1-3,text,true,,100817,142,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,36,0,0
1672416287405,110,HTTP Request,200,OK,Thread Group 1-10,text,true,,101550,330,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,21,0,0
1672416287405,22,HTTP Request-0,301,Moved Permanently,Thread Group 1-10,text,true,,733,188,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu/,21,0,0
1672416287427,88,HTTP Request-1,200,OK,Thread Group 1-10,text,true,,100817,142,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,32,0,0
1672416287397,140,HTTP Request,200,OK,Thread Group 1-1,text,true,,101550,330,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,31,0,0
1672416287397,31,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,733,188,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu/,31,0,0
1672416287428,109,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,100817,142,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,47,0,0
1672416287401,143,HTTP Request,200,OK,Thread Group 1-4,text,true,,101548,330,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,27,0,0
1672416287401,27,HTTP Request-0,301,Moved Permanently,Thread Group 1-4,text,true,,732,188,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu/,27,0,0
1672416287431,113,HTTP Request-1,200,OK,Thread Group 1-4,text,true,,100816,142,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,47,0,0
1672416286586,965,HTTP Request,200,OK,Thread Group 1-7,text,true,,101665,330,25,25,https://www.mojpieknyogrod.pl/zakladanie-ogrodu,824,0,762
